unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"BA558B33-6261-76EF-E053-6B04A8C0B4B7","1850000","2020-12-04","E1 6AN","O","N","F","","12","BRUSHFIELD STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/BA558B33-6261-76EF-E053-6B04A8C0B4B7/current"
"47844C80-9E76-8986-E050-A8C063056488","55000","2017-01-12","E1 6AN","O","N","L","","GROUND FLOOR AND BASEMENT, 14","BRUSHFIELD STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/47844C80-9E76-8986-E050-A8C063056488/current"
"2D1E4B27-14F0-FCD1-E050-A8C0630544EC","175000","2016-01-25","E1 7AA","O","N","L","","3","MIDDLESEX STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/2D1E4B27-14F0-FCD1-E050-A8C0630544EC/current"
"5CF9903C-CF4F-7F13-E053-6C04A8C074B1","375000","2017-10-20","E1 7BH","O","N","L","","9","STONEY LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/5CF9903C-CF4F-7F13-E053-6C04A8C074B1/current"
"38EDC0C3-90F6-0F63-E063-4704A8C00424","30000","2023-12-13","E1 7DA","O","N","L","","99","MIDDLESEX STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-90F6-0F63-E063-4704A8C00424/current"
"AE4D86D4-B051-4619-E053-6C04A8C03CD0","4800000","2020-06-15","E1 7DJ","O","N","F","","3","CUTLER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/AE4D86D4-B051-4619-E053-6C04A8C03CD0/current"
"98C75472-BC8D-72E9-E053-6B04A8C042F0","5150000","2019-11-13","E1 7DJ","O","N","F","","3","CUTLER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-BC8D-72E9-E053-6B04A8C042F0/current"
"DBA933FA-80B2-669D-E053-6B04A8C0AD56","595000","2021-05-12","E1 7EB","O","N","L","","414","PETTICOAT SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/DBA933FA-80B2-669D-E053-6B04A8C0AD56/current"
"C6209F5F-981C-295E-E053-6C04A8C0DDCC","540000","2021-03-12","E1 7EB","F","N","L","","420","PETTICOAT SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5F-981C-295E-E053-6C04A8C0DDCC/current"
"47844C80-16FB-8986-E050-A8C063056488","540000","2017-01-05","E1 7EB","F","N","L","","425","PETTICOAT SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/47844C80-16FB-8986-E050-A8C063056488/current"
