borough,latitude,longitude
BARKING AND DAGENHAM,51.5607,0.1557
BARNET,51.6252,-0.1517
BEXLEY,51.4549,0.1505
BRENT,51.5588,-0.2817
BROMLEY,51.4039,0.0198
CAMDEN,51.5290,-0.1255
CITY OF LONDON,51.5155,-0.0922
CITY OF WESTMINSTER,51.4973,-0.1372
CROYDON,51.3714,-0.0977
EALING,51.5130,-0.3089
ENFIELD,51.6538,-0.0799
GREENWICH,51.4892,0.0648
HACKNEY,51.5450,-0.0553
HAMMERSMITH AND FULHAM,51.4927,-0.2339
HARINGEY,51.6000,-0.1119
HARROW,51.5898,-0.3346
HAVERING,51.5779,0.1848
HILLINGDON,51.5441,-0.4526
HOUNSLOW,51.4746,-0.3680
ISLINGTON,51.5416,-0.1024
KENSINGTON AND CHELSEA,51.4991,-0.1938
KINGSTON UPON THAMES,51.4085,-0.2681
LAMBETH,51.4607,-0.1163
LEWISHAM,51.4415,-0.0117
MERTON,51.4098,-0.1949
NEWHAM,51.5077,0.0469
REDBRIDGE,51.5847,0.0455
RICHMOND UPON THAMES,51.4479,-0.3260
SOUTHWARK,51.5030,-0.0879
SUTTON,51.3618,-0.1945
TOWER HAMLETS,51.5099,-0.0059
WALTHAM FOREST,51.5908,-0.0134
WANDSWORTH,51.4571,-0.1910
