borough,growth_pct,growth_rank,grid_col,grid_row
HAVERING,35.88,1,0,0
BEXLEY,31.35,2,1,0
SUTTON,31.30,3,2,0
"BARKING AND DAGENHAM",31.20,4,3,0
REDBRIDGE,27.60,5,4,0
HILLINGDON,27.40,6,5,0
"WALTHAM FOREST",27.19,7,0,1
NEWHAM,25.77,8,1,1
HOUNSLOW,25.68,9,2,1
HARINGEY,24.23,10,3,1
CROYDON,24.21,11,4,1
BROMLEY,22.56,12,5,1
ENFIELD,20.85,13,0,2
MERTON,19.67,14,1,2
LEWISHAM,19.21,15,2,2
BARNET,18.60,16,3,2
HARROW,17.70,17,4,2
BRENT,17.36,18,5,2
"KINGSTON UPON THAMES",16.66,19,0,3
"RICHMOND UPON THAMES",16.18,20,1,3
GREENWICH,16.06,21,2,3
EALING,13.45,22,3,3
LAMBETH,6.89,23,4,3
HACKNEY,6.16,24,5,3
"TOWER HAMLETS",5.79,25,0,4
ISLINGTON,3.84,26,1,4
CAMDEN,2.10,27,2,4
SOUTHWARK,1.96,28,3,4
WANDSWORTH,0.97,29,4,4
"HAMMERSMITH AND FULHAM",-4.68,30,5,4
"CITY OF LONDON",-4.82,31,0,5
"KENSINGTON AND CHELSEA",-8.27,32,1,5
"CITY OF WESTMINSTER",-15.35,33,2,5
