borough,price_2016,price_2025,growth_pct,growth_rank
HAVERING,329842,448193,35.88,1
BEXLEY,321495,422286,31.35,2
SUTTON,344066,451745,31.30,3
"BARKING AND DAGENHAM",289253,379492,31.20,4
REDBRIDGE,387048,493892,27.60,5
HILLINGDON,389093,495701,27.40,6
"WALTHAM FOREST",413773,526296,27.19,7
NEWHAM,354393,445704,25.77,8
HOUNSLOW,378127,475228,25.68,9
HARINGEY,445922,553969,24.23,10
CROYDON,332185,412618,24.21,11
BROMLEY,414711,508287,22.56,12
ENFIELD,372682,450373,20.85,13
MERTON,441626,528514,19.67,14
LEWISHAM,378835,451623,19.21,15
BARNET,464735,551184,18.60,16
HARROW,442524,520842,17.70,17
BRENT,442727,519595,17.36,18
"KINGSTON UPON THAMES",460714,537448,16.66,19
"RICHMOND UPON THAMES",603577,701213,16.18,20
GREENWICH,386619,448727,16.06,21
EALING,452330,513165,13.45,22
LAMBETH,504221,538940,6.89,23
HACKNEY,532600,565408,6.16,24
"TOWER HAMLETS",459349,485956,5.79,25
ISLINGTON,607028,630327,3.84,26
CAMDEN,724350,739566,2.10,27
SOUTHWARK,509503,519504,1.96,28
WANDSWORTH,637753,643925,0.97,29
"HAMMERSMITH AND FULHAM",722533,688719,-4.68,30
"CITY OF LONDON",835280,795000,-4.82,31
"KENSINGTON AND CHELSEA",1213751,1113339,-8.27,32
"CITY OF WESTMINSTER",1016324,860343,-15.35,33
